label,volume,skel_size,cable_length,tag
5172,4,2,11.31370849898476,small
5388,56,5,45.254833995939045,small
5224,60,6,49.941125496954285,small
5315,24,7,54.62741699796952,small
5288,292,5,56.0624390837628,small
11484,2560,7,57.94112549695428,small
5280,88,7,57.94112549695428,small
5308,132,8,62.62741699796952,small
5026,92,9,67.31370849898477,small
5218,136,9,67.31370849898477,small
18715,144,9,73.94112549695429,small
5144,172,11,86.62741699796952,small
5320,120,9,87.19595949289334,small
4814,248,10,88.5685424949238,small
4859,216,11,93.25483399593904,small
4817,272,11,93.25483399593904,small
5142,932,10,101.67576639048956,small
4728,376,12,104.56854249492382,small
7118,3740,10,104.98947488947434,small
4989,392,8,110.75229516549513,small
5125,620,13,115.88225099390856,small
5300,724,15,125.25483399593908,small
5325,512,16,129.9411254969543,small
5327,704,17,131.31370849898477,small
13683,1908,10,136.9306003864286,small
5333,684,18,142.62741699796953,small
5416,1792,16,143.19595949289334,small
5342,1248,16,143.19595949289334,small
7046,7864,13,146.5721070756409,small
2723,2388,7,147.56346483403595,small
5214,2948,13,148.7241157830096,small
5156,2024,15,149.31727307970183,small
13391,17572,7,149.86308364177796,small
6379,15944,11,151.32083766041893,small
5091,848,16,153.1370849898476,small
5373,856,18,155.88225099390857,small
13655,3748,13,161.97894977894867,small
13625,3480,12,164.78655486677243,small
5329,1420,20,165.25483399593904,small
5225,1472,20,175.19595949289334,small
5179,988,18,175.76450198781714,small
13664,2012,19,177.1370849898476,small
13677,2776,19,177.1370849898476,small
5694,27640,19,177.1370849898476,small
5101,756,21,179.8822509939086,small
13624,3776,15,181.1450481775601,small
8318,2012,17,181.7382054742524,small
13657,2236,17,181.88581557462564,small
5865,2844,20,185.1370849898476,small
5404,2684,7,187.30418604636304,small
5497,4828,7,187.30418604636304,small
5311,2032,22,187.8822509939086,small
5261,2356,21,189.82337649086284,small
5323,2476,21,189.82337649086284,small
13672,2284,20,191.7645019878172,small
5371,1236,22,197.82337649086284,small
13650,2042,20,198.39191898578667,small
13675,2472,24,200.56854249492383,small
5431,3748,17,200.6063667769181,small
5414,4392,21,200.6309815786866,small
13688,2832,22,201.13708498984764,small
5254,2804,23,202.50966799187808,small
13654,3620,21,203.0782104868019,small
11642,5532,19,204.36562247222187,small
5290,1880,20,205.0193359837561,small
4815,2488,20,205.0193359837561,small
13648,3768,25,205.25483399593904,small
5250,2192,23,205.82337649086284,small
5375,3152,23,205.82337649086287,small
5296,1984,21,206.39191898578667,small
4653,4068,26,206.6274169979696,small
5346,4136,21,207.11078847628283,small
13701,2532,21,209.70562748477144,small
5208,1640,24,210.50966799187813,small
13690,3024,24,210.50966799187813,small
9197,6468,17,211.413971864742,small
5347,2588,25,211.8822509939085,small
5230,1828,25,211.8822509939085,small
13659,2820,23,212.4507934888324,small
5269,1144,21,213.0193359837562,small
13610,4984,21,213.88581557462564,small
5529,4272,8,214.1591378688029,small
5313,3792,23,215.7645019878172,small
13647,4912,21,217.19952407361043,small
13694,2478,23,219.0782104868019,small
5354,26988,23,219.0782104868019,small
5277,4352,23,219.0782104868019,small
13665,3840,26,219.8822509939085,small
13445,6656,9,221.14504817756017,small
7727,3596,22,221.88581557462567,small
5314,1796,26,223.1959594928933,small
5331,4084,26,223.1959594928933,small
13487,14632,11,223.360544811334,small
13687,2008,24,223.7645019878172,small
5405,5444,22,225.1995240736104,small
10519,3408,22,226.0660036644799,small
13661,2732,23,226.57210707564087,small
5260,1936,22,227.6467529817257,small
5714,3860,24,227.94469007767137,small
8808,6292,22,228.3656224722219,small
7558,5324,20,228.9341649671457,small
13583,4644,16,229.9446900776714,small
5266,2740,24,230.3919189857867,small
18531,2228,25,231.7645019878171,small
13684,4348,28,232.56854249492383,small
13596,6116,23,233.1995240736104,small
5237,2432,27,234.50966799187808,small
13556,8944,15,234.8832536518125,small
5147,3124,26,236.4507934888324,small
5232,1738,24,237.0193359837562,small
10287,3756,24,237.7382054742524,small
13682,4328,25,238.39191898578665,small
5216,2892,25,238.39191898578665,small
12907,3224,24,240.33304448274097,small
19022,2960,17,240.818298829975,small
13668,2660,27,241.1370849898476,small
19232,5512,21,241.2619631573732,small
13652,3512,25,241.7056274847714,small
5206,2648,26,243.07821048680188,small
5339,2872,24,243.6467529817257,small
11218,2240,26,243.9446900776713,small
10565,3592,20,244.06956824519696,small
4627,6484,24,244.5132325725952,small
5372,4264,24,244.5132325725952,small
5263,1392,25,245.0193359837561,small
13627,3164,18,245.7760297562468,small
13680,4216,28,245.82337649086284,small
5335,6428,28,245.82337649086284,small
5426,2596,24,246.9604614807105,small
13651,4788,27,247.7645019878172,small
5807,3212,25,249.1995240736104,small
10582,2400,22,249.2619631573732,small
13660,2052,19,249.324402241136,small
9406,8064,25,250.0660036644799,small
5483,5256,26,250.57210707564087,small
5357,4132,21,251.2030886543275,small
8246,5732,22,251.413971864742,small
5384,4072,25,252.5132325725952,small
10234,3240,23,252.78655486677243,small
5595,3811,23,253.9482546583885,small
11409,2476,30,255.1959594928933,small
18491,5470,20,256.31031254989324,small
6682,2620,18,256.5836348440705,small
18410,1736,29,257.1370849898476,small
5907,2556,27,257.41040728402487,small
5256,692,27,257.7056274847714,small
13649,3848,24,257.7680665685342,small
12410,3636,18,258.75942432692926,small
13670,2368,28,259.0782104868019,small
5422,7944,22,259.2030886543276,small
7559,3672,22,260.34100767045345,small
6652,3912,24,261.081775067519,small
6446,2852,27,261.7382054742524,small
12770,5436,27,261.7382054742524,small
5455,5648,21,261.863083641778,small
13617,6876,24,261.94825465838846,small
12279,2384,20,262.7901194474895,small
13646,5572,26,262.9604614807105,small
5459,2340,22,263.3832767441817,small
13673,4180,29,263.76450198781714,small
5316,6364,23,263.88938015534274,small
13635,5664,27,264.3330444827409,small
5591,2804,22,265.830505652297,small
5270,440,33,265.9411254969543,small
11158,5000,25,266.4869360590304,small
5190,3160,31,266.5096679918781,small
13468,9876,13,266.7366923940816,small
5075,1292,27,267.6467529817257,small
5135,5920,27,267.6467529817257,small
13613,5700,23,270.51679715331227,small
13700,2752,27,270.9604614807105,small
13667,4484,28,272.3330444827409,small
9694,3164,22,272.45792265026654,small
13666,2752,26,272.9015869776647,small
13571,5359,17,273.0651234534631,small
13696,2600,29,273.7056274847714,small
5157,1200,32,274.5096679918781,small
12386,5024,25,275.41397186474194,small
13614,6848,25,275.7091920654885,small
10301,3648,26,276.21529547664954,small
13628,5772,31,276.45079348883235,small
13586,5708,20,280.372751633656,small
12587,2812,24,281.830505652297,small
13064,2668,24,283.8349042592925,small
5060,1528,32,284.45079348883235,small
6511,4852,30,284.87172588338285,small
4890,1548,35,285.25483399593907,small
4977,2712,28,285.5878784786799,small
13634,6404,28,285.5878784786799,small
5285,5758,28,285.58787847867995,small
19236,4316,33,285.82337649086287,small
5353,13568,14,285.9633470075352,small
5452,4332,25,286.36918705293897,small
12433,3132,22,286.579236237075,small
11259,2332,22,286.57923623707507,small
10244,2052,26,286.8752904641,small
18970,6288,26,286.8752904641,small
13608,7408,29,286.9604614807104,small
13640,5436,26,287.8893801553427,small
11960,3076,30,288.0378242819944,small
11789,2224,24,288.4579226502665,small
9921,2156,24,288.4579226502665,small
13572,15556,22,288.7312449444437,small
13669,3896,28,288.9015869776647,small
19233,2724,28,288.9015869776647,small
8228,4344,28,289.62045646816097,small
18983,3660,31,289.70562748477136,small
13428,3200,28,293.08177506751895,small
7958,4244,28,293.08177506751895,small
12695,4052,28,293.08177506751895,small
12498,2488,22,293.20665323504454,small
13702,6540,26,293.65031756244275,small
5252,3764,29,294.45435806954936,small
12110,7128,26,294.5167971533121,small
11299,2180,30,294.9604614807104,small
5017,3612,30,294.9604614807104,small
9712,2884,24,295.085339648236,small
8740,3516,24,295.085339648236,small
10812,3732,28,296.24787346613044,small
5293,7954,31,296.33304448274083,small
5167,1160,31,296.3330444827409,small
4734,2204,22,296.5203617340293,small
10036,5476,24,296.818298829975,small
5432,7052,29,296.90158697766464,small
5319,8380,30,298.2741699796952,small
13121,152372,24,298.39904814722075,small
13645,4552,28,298.84271247461896,small
5278,4545,33,299.0782104868018,small
13686,2736,33,299.0782104868019,small
5358,18248,28,299.7091920654884,small
9711,4796,28,299.7091920654884,small
5641,2536,22,299.834070233014,small
6790,55952,15,300.3193245802481,small
8347,2404,28,300.57567165635794,small
11234,5408,22,301.567029414753,small
13691,4264,33,302.3919189857866,small
5415,7048,21,303.50815491170727,small
13587,3712,21,303.8006445580152,small
13619,5780,32,304.3330444827409,small
13574,4820,20,304.4351907174188,small
12543,7676,27,304.668805860681,small
5362,11596,30,304.90158697766464,small
13685,5804,35,305.1370849898476,small
5016,4098,33,305.7056274847714,small
6854,7168,30,307.9200752759029,small
11683,3992,34,307.94469007767134,small
12129,3472,32,308.3656224722219,small
5451,6892,22,308.46588583797904,small
8756,2088,24,309.2066532350445,small
5161,7244,22,310.6416753208377,small
11228,4040,26,311.085339648236,small
6848,4148,26,311.0853396482361,small
5840,2804,24,311.5062720427865,small
5469,9060,27,312.4579226502665,small
7258,3776,21,312.55902004230205,small
9865,7000,28,312.6688058606809,small
9750,4296,26,313.38495845597805,small
13286,3272,26,313.38495845597805,small
5610,6828,30,314.8427124746189,small
13040,3264,25,314.88325365181254,small
13644,6584,32,315.1406495705646,small
5462,11100,23,315.45179614673634,small
12428,2988,18,315.6637281997931,small
12143,2620,30,315.7091920654884,small
7082,7296,29,317.20748726132297,small
5159,7256,23,317.47997552922186,small
5892,2616,27,317.92363985662,small
7370,5020,26,318.4316261367017,small
11439,4172,26,318.5792362370749,small
5908,3248,26,318.57923623707507,small
12961,3804,26,318.57923623707507,small
12640,3336,17,318.61894338799016,small
7994,2832,30,318.7276803637267,small
5461,7232,24,319.0001686316255,small
5334,9852,31,320.2478734661304,small
10099,5708,28,320.4579226502665,small
5336,7990,29,320.8164159610542,small
13599,8400,29,320.96402606142743,small
12303,4600,34,321.1995240736104,small
9559,7284,20,321.8702128032121,small
5433,12640,23,322.82186341069206,small
13025,2104,24,323.327966821853,small
4873,2308,32,324.2152954766494,small
13662,2612,32,324.2152954766494,small
13181,4240,26,324.3401736441751,small
5191,8888,35,325.0193359837561,small
6600,4696,29,326.1345230670344,small
13553,4192,36,326.39191898578656,small
12222,7708,27,326.5792362370749,small
12480,5848,26,327.21105184204004,small
5464,8212,25,327.2716080568821,small
11288,6496,30,327.38327674418167,small
10599,3488,26,327.5062720427866,small
5825,3660,26,327.5062720427866,small
5284,4460,30,328.097546470558,small
13433,15312,20,328.4976298011816,small
12039,7628,26,328.5203617340293,small
11655,2704,30,329.8305056522969,small
4701,8296,32,330.84271247461885,small
5345,10696,21,330.8843024944548,small
13653,6204,35,331.6467529817257,small
13167,4016,32,331.7091920654883,small
7215,4928,30,331.83490425929244,small
13623,5628,27,332.1925635438018,small
5367,10728,33,332.21529547664954,small
5418,5664,25,332.46588583797904,small
18969,3400,34,333.58787847867995,small
10395,5692,28,333.7127566462055,small
6453,5656,28,333.71275664620555,small
6956,3360,26,334.1336890407561,small
5264,6333,32,334.1564209736037,small
10980,4752,28,334.5792362370749,small
7750,5180,25,335.6319842365906,small
11870,4012,24,336.582800817792,small
6134,7768,25,336.7936840282066,small
11995,5324,28,336.878855044817,small
13545,15460,31,336.9640260614274,small
6868,6868,32,337.4701294725884,small
5243,7316,32,337.47012947258844,small
8383,5484,27,338.6723704413981,small
13372,21324,15,339.78860636731866,small
10011,6012,31,340.27773456041217,small
12425,7056,30,340.4905006397474,small
13681,3332,37,341.0193359837561,small
12287,3940,27,341.1195993495133,small
5684,5788,28,341.2066532350445,small
8433,2928,28,341.2066532350445,small
9054,4008,28,341.2066532350445,small
11110,8552,29,341.4175364454589,small
13643,6320,35,341.58787847867995,small
7947,3920,26,341.6275856295951,small
11943,6604,29,341.7127566462055,small
13564,6792,24,342.0485180241455,small
9610,5988,30,342.21886005736644,small
10239,2496,30,343.0853396482361,small
5029,6050,34,344.3954835665037,small
8409,10480,28,344.5203617340293,small
7467,7208,29,344.878855044817,small
5351,8840,35,344.9015869776647,small
12992,7740,32,344.9640260614274,small
13561,15588,32,344.96402606142743,small
8424,8228,30,345.0897382552315,small
13611,10604,29,345.89294473605975,small
5473,14100,26,345.95538381982254,small
