label,volume,skel_size,cable_length,tag
5992,59,7,51.31370849898476,small
3320,83,7,54.62741699796952,small
3374,115,9,70.62741699796952,small
5963,277,13,105.9411254969543,small
6033,262,13,105.9411254969543,small
9104,2310,10,109.31727307970183,small
6049,447,14,127.19595949289337,small
3395,519,15,135.19595949289334,small
6633,17389,15,135.19595949289334,small
6035,384,16,136.5685424949238,small
9092,1042,17,137.94112549695427,small
5377,767,16,147.37614758274756,small
8289,867,18,155.88225099390854,small
3412,594,20,158.62741699796953,small
8315,856,18,162.50966799187808,small
6053,999,20,165.25483399593907,small
6032,1127,18,175.76450198781714,small
9718,2520,16,176.18543438236767,small
6348,9946,16,177.19952407361043,small
8868,29932,13,179.41397186474197,small
2630,1930,13,182.7276803637267,small
8323,1473,23,192.56854249492383,small
10635,3248,13,192.66880586068092,small
3457,1418,21,193.1370849898476,small
9715,4674,17,196.0071291614341,small
8902,2201,24,203.8822509939086,small
3365,1960,24,203.8822509939086,small
3441,909,24,207.19595949289337,small
3409,2299,21,207.2583985766561,small
10297,3167,26,209.94112549695427,small
8310,2234,23,212.4507934888324,small
3331,1620,26,213.25483399593904,small
9099,4818,15,217.32440224113603,small
5940,6509,25,218.36205789150483,small
6359,2213,20,218.9930394701914,small
4415,2534,20,222.3067479691762,small
7895,22092,17,226.968424668423,small
5997,1659,25,231.7645019878172,small
8308,3568,25,232.6309815786866,small
3308,7144,23,234.0660036644799,small
9087,3985,26,236.4507934888324,small
6015,3623,27,241.1370849898476,small
3442,4417,27,244.45079348883235,small
9117,88662,9,245.17322756004563,small
9929,246375,13,247.00205150054632,small
10621,2943,29,247.1959594928933,small
6980,25609,13,247.27349092580283,small
7830,5545,24,247.6793309712067,small
4416,3780,24,248.6934206624494,small
5955,3794,25,249.1995240736104,small
9714,3958,24,252.0071291614341,small
10684,1924,29,253.82337649086287,small
6051,3335,25,255.8269410715799,small
3394,3075,29,257.1370849898476,small
6040,5231,27,261.0193359837561,small
6047,4857,28,269.0193359837561,small
3581,8984,26,269.44026837830665,small
6050,4115,31,269.82337649086287,small
3419,2885,29,271.2583985766561,small
9713,5761,32,277.82337649086287,small
7945,4465,30,278.3919189857867,small
5298,5722,28,280.6934206624494,small
3163,10270,30,281.70562748477136,small
8873,91765,18,284.2312218520746,small
5299,4222,31,286.3919189857866,small
3426,10983,19,288.7936840282066,small
4617,5264,29,292.00712916143414,small
5304,3096,35,295.1959594928933,small
7938,3612,31,296.3330444827409,small
9922,6272,23,301.2066532350445,small
5991,3457,23,302.1969621507973,small
5300,5181,33,302.3919189857867,small
3604,2194,27,303.38327674418167,small
10812,2768,32,304.33304448274083,small
3301,10654,19,305.3622265231304,small
6046,6607,33,305.7056274847714,small
10273,4996,33,305.7056274847714,small
6539,9069,30,305.7680665685342,small
7910,30530,26,308.90955016537725,small
3386,4112,36,309.8233764908628,small
6058,4144,37,311.1959594928933,small
8397,3997,29,311.8893801553427,small
7937,6663,27,312.4579226502665,small
9497,4516,29,315.0554785539542,small
3311,3771,35,315.0782104868019,small
3300,6159,30,315.7091920654884,small
7283,2668,25,317.05904313467124,small
3209,4036,38,319.1959594928933,small
7944,4472,38,319.1959594928933,small
3489,3277,27,319.80420913873223,small
5246,11725,30,319.8893801553427,small
9572,3632,26,321.8929447360598,small
3528,9439,28,323.7716311492512,small
3726,3449,26,324.1925635438018,small
4684,7984,34,325.37971216346466,small
9717,4014,34,330.2741699796952,small
3321,5475,39,330.5096679918781,small
8554,5373,34,331.1406495705647,small
4830,12167,34,333.44026837830665,small
4616,6434,32,334.8752904641,small
5988,3945,29,335.9518192391055,small
10334,6019,37,341.88581557462567,small
5305,3505,34,343.5290039756342,small
7809,3548,25,345.30167030828835,small
8412,4933,29,345.89294473605975,small
5303,4904,34,346.842712474619,small
8767,4616,31,348.63811074012074,small
8896,9649,37,350.9604614807104,small
9716,5104,33,352.9640260614275,small
6583,1808,31,357.4175364454589,small
4487,8307,28,357.62758562959505,small
8897,8988,35,358.15642097360376,small
7913,14216,27,358.79180115928585,small
10620,128224,26,359.21021781576167,small
8886,35897,33,361.324402241136,small
7930,10180,34,361.83050565229695,small
5136,8321,32,362.3990481472207,small
10813,2481,34,363.4112549695428,small
6048,9527,36,366.15642097360376,small
3522,7305,38,368.9015869776647,small
7943,5125,36,369.4701294725885,small
7850,6668,40,371.6467529817256,small
10768,26994,27,373.9614641386144,small
3733,7221,31,373.9860789403827,small
8895,11614,37,374.1564209736037,small
7851,14858,16,374.74885303166513,small
7387,4242,33,380.1925635438018,small
9711,9622,39,380.21529547664943,small
9684,10722,41,380.5132325725952,small
6501,7162,36,381.14421415128174,small
5003,5394,36,381.14421415128174,small
9732,15517,19,381.85356118915627,small
6187,7830,32,382.133689040756,small
8894,7996,38,383.0229005644732,small
5241,15214,27,386.3708687647353,small
9712,7717,38,388.7838379715732,small
6022,7759,38,388.7838379715732,small
10614,5448,28,391.4835401099389,small
7941,17965,39,394.3366090634579,small
4585,12257,31,395.8965093167767,small
3385,10281,35,396.3401736441751,small
8899,10053,34,396.70054982388353,small
3520,6031,39,396.7838379715731,small
7940,9646,41,399.5290039756343,small
6177,8180,44,400.1854343823677,small
3535,4334,37,400.6660889654818,small
7942,8867,43,402.2741699796952,small
10306,14458,30,402.28926232884186,small
4675,7831,32,410.37631621437305,small
7935,10747,40,411.4112549695427,small
9686,21304,19,412.7805969948678,small
9710,17716,39,416.5184788651085,small
8880,30478,41,416.9640260614275,small
7922,8434,27,418.3535842815255,small
3296,11797,33,419.3904059056159,small
3509,8902,39,419.8321873640932,small
3435,19489,34,420.1679487420334,small
3556,13778,35,422.7022315356799,small
8901,5487,42,424.097546470558,small
5301,11242,40,424.6660889654818,small
10770,146389,19,427.55499122405655,small
8752,8208,32,427.9589484005396,small
3396,8232,27,430.5943285862217,small
3514,27367,37,433.0889042289531,small
6064,18874,42,433.324402241136,small
3569,15339,33,435.95894840053967,small
8756,6053,32,438.76655348836334,small
3701,9385,39,441.4473975397409,small
5302,4846,43,442.0386719675123,small
9260,19864,38,443.5361331370683,small
7893,8501,36,444.9711552228617,small
6065,11890,33,445.900073897494,small
7923,16817,38,448.5828008177921,small
3579,17004,36,449.1513433127159,small
8327,17565,39,452.4026127279378,small
10659,10636,39,452.4026127279378,small
8903,2389,47,454.15642097360376,small
5308,54848,40,457.08890422895297,small
10648,5408,36,459.0924688096702,small
6675,16662,29,459.430113056531,small
10821,13567,37,459.5985722208312,small
9649,10683,32,459.9343335987711,small
10299,6497,40,460.4026127279377,small
5292,18821,41,460.9087161390989,small
9705,19543,42,462.28129914112935,small
7915,28026,43,462.7874025522903,small
6448,5990,29,463.1628710811455,small
10609,29960,43,464.9394112596591,small
3855,11773,40,465.0018503434218,small
8697,22635,38,466.0178229035853,small
10174,13102,46,466.0386719675122,small
8331,18428,39,466.6477556396296,small
10820,11306,47,468.27773456041234,small
3898,4117,35,468.3798807950901,small
3305,10428,44,469.9209229614208,small
10822,12348,44,469.9209229614208,small
5297,10117,47,471.5914430593969,small
7209,10897,40,472.0766974066311,small
4025,10000,39,472.2848637218464,small
7888,30268,34,473.90615421628576,small
5306,2600,55,478.39191898578656,small
4112,12510,36,478.6794996028321,small
7867,15860,36,480.70767898531767,small
8381,11714,39,482.94485870929685,small
4488,10362,40,484.3174417113273,small
9112,18926,39,484.3779979261693,small
3547,9875,38,489.06617229610544,small
5979,17673,38,489.4852218217352,small
9182,10399,40,492.37799792616937,small
5335,29103,30,499.55310835513575,small
4019,10998,36,499.7234503883568,small
5277,4211,44,500.02033864166015,small
4592,7040,38,500.44043700993217,small
7924,25343,48,501.92092296142073,small
9168,22532,38,503.75414550891696,small
3751,11045,43,504.2848637218465,small
9170,9966,38,505.7823248914024,small
3235,6116,29,505.7982512668276,small
7901,19706,49,506.6072144624361,small
7936,7496,42,508.3779979261694,small
9462,6695,38,508.6532030892674,small
7665,11314,35,509.1584724741501,small
8898,9532,51,509.3523804664971,small
9025,15932,35,510.0249520650196,small
7488,4595,35,510.1250006144128,small
9155,14292,44,511.27077403060366,small
8513,22565,41,511.3332131143665,small
3833,24026,46,512.7066301426753,small
10775,2628,45,513.6574467238769,small
4629,11563,42,513.7198858076397,small
5047,16802,44,515.5985722208311,small
7248,6005,52,516.4905006397474,small
8827,10804,36,516.8632522734035,small
7864,4419,40,518.7400558176741,small
9096,13089,43,519.6917064251542,small
7931,17120,47,519.7163212269227,small
6768,14136,46,520.4957469322608,small
3391,15356,52,520.6660889654818,small
6253,13857,38,520.7701180690806,small
6603,12448,36,522.2051401548738,small
5294,11396,45,523.4509621204579,small
7124,8955,36,523.490669271373,small
6029,8383,52,523.9797974644665,small
7928,22213,50,524.5483399593904,small
4352,10249,33,524.5671980463786,small
6232,10074,46,524.9711552228616,small
10276,7871,44,525.3920876174121,small
6949,16377,39,525.580238894979,small
9164,10613,44,526.406177308655,small
5340,33552,50,527.8620484583752,small
8600,10372,39,527.903638478211,small
7131,18133,37,528.3245708727616,small
4882,5728,48,528.582800817792,small
7946,6377,53,528.6660889654818,small
5327,20204,30,529.0812646452521,small
9640,9799,47,529.6574467238768,small
7919,14767,35,530.7736826497976,small
6625,19181,36,531.2797860609586,small
3586,27929,41,531.5152840731415,small
3576,17564,40,532.5899299792262,small
8893,11297,43,532.9465404210932,small
9678,12552,44,533.0335943066244,small
5336,37750,51,533.4148195502598,small
7692,22465,44,535.3332131143665,small
9766,9922,40,537.041557494337,small
10766,8854,40,538.203257285953,small
5069,7410,40,538.3270866108363,small
4514,19922,46,539.0924688096702,small
3976,8890,40,541.3693556845644,small
8623,18860,43,541.4545267011749,small
9618,29965,48,543.1231639302304,small
8875,13215,36,544.3870099565244,small
8507,12312,41,547.2173469771958,small
6000,11041,36,547.8245477803923,small
7448,13908,36,549.5812877376213,small
6233,10570,44,549.6021368015483,small
4368,12062,36,549.8527271628778,small
9623,18213,40,550.0249520650194,small
3861,11193,47,550.4061773086548,small
9425,9077,37,552.2393998561511,small
8410,12781,43,552.4097418893721,small
4633,9304,43,552.4097418893721,small
7316,93050,30,553.1094440277376,small
7743,20460,44,553.7823248914025,small
3582,25540,38,553.9072030589281,small
4162,14460,43,554.5617505967407,small
7472,13737,39,555.2797860609585,small
4224,12526,43,559.0371588873415,small
6149,12616,43,559.903638478211,small
6775,10489,46,560.4078590204513,small
10734,4467,44,563.0091806619805,small
6117,19694,48,563.8718945150084,small
4196,13083,42,565.15847247415,small
6073,23579,42,566.0249520650195,small
7431,11213,43,566.5310554761804,small
3957,10181,38,567.0144269544938,small
4938,9583,40,567.583803475696,small
3936,17397,48,568.347302805609,small
6083,20287,48,568.3473028056092,small
6747,10230,43,568.8306742839225,small
6223,18680,43,568.8306742839226,small
6901,13788,47,570.2884283025635,small
9706,16683,38,571.3422251447213,small
8330,20057,34,572.0364798334491,small
5332,34707,31,575.4126274161968,small
7775,18519,47,583.5432622985026,small
8889,18680,52,583.7787603106855,small
9709,21049,57,583.8620484583753,small
8822,8826,60,584.5184788651085,small
10192,15080,45,584.8306742839225,small
3313,9389,58,588.5483399593904,small
8714,23553,52,588.6732181269159,small
7404,4990,48,589.6672927805101,small
10148,15669,43,590.5934945599433,small
10758,19306,43,592.7455032673121,small
9445,8252,43,593.9072030589282,small
5338,30860,39,596.7772472305146,small
8525,7216,52,597.7524637971208,small
10277,37331,60,597.9209229614208,small
5105,10244,41,598.6559336437062,small
9231,6507,44,598.7173238848267,small
7939,13623,56,599.0580079512685,small
4001,16017,46,599.6057013822652,small
8890,18018,43,601.4010996477671,small
3431,25125,40,601.7349781567863,small
3926,32008,50,604.2295537995178,small
8416,13048,47,605.15847247415,small
